City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Venafro,IT,41.4834,14.0451,54.14,87,100,2.26,light rain
159,Seryshevo,RU,51.0933,128.3786,15.12,91,8,11.92,clear sky
160,Marsh Harbour,BS,26.5412,-77.0636,76.68,73,25,4.59,scattered clouds
161,Dese,ET,11.1333,39.6333,51.31,34,5,2.55,clear sky
162,Mahebourg,MU,-20.4081,57.7,80.89,69,40,6.91,scattered clouds
163,Henties Bay,NA,-22.116,14.2845,62.85,74,4,8.88,clear sky
164,Saint-Leu,RE,-21.15,55.2833,77.86,70,71,0.98,broken clouds
165,Zapolyarnyy,RU,69.4154,30.8136,-0.85,93,5,3.87,clear sky
166,New Norfolk,AU,-42.7826,147.0587,49.71,63,90,1.99,overcast clouds
167,Kaeo,NZ,-35.1,173.7833,58.32,95,28,1.23,scattered clouds
168,Belfast,GB,54.5833,-5.9333,46.22,84,75,11.5,light rain
169,Eenhana,NA,-17.4667,16.3333,91.62,24,89,7.58,overcast clouds
170,Steamboat Springs,US,40.485,-106.8317,35.31,100,1,0.0,clear sky
171,Laguna,US,38.421,-121.4238,51.22,97,90,1.99,fog
172,Grosseto,IT,42.8333,11.25,58.69,88,75,14.97,broken clouds
173,High Level,CA,58.5169,-117.136,8.71,92,90,3.44,light snow
174,Aklavik,CA,68.2191,-135.0107,21.2,79,90,9.22,light snow
175,Tarija,BO,-21.5355,-64.7296,71.51,68,75,6.91,broken clouds
176,Laiwu,CN,36.1928,117.6569,42.03,73,100,1.99,overcast clouds
177,Ous,RU,60.9058,61.5186,2.66,94,100,4.74,overcast clouds
178,Oksfjord,NO,70.2396,22.3479,24.98,87,18,13.31,few clouds
179,Dong Xoai,VN,11.5333,106.9167,72.97,76,99,7.0,overcast clouds
180,Chokurdakh,RU,70.6333,147.9167,-45.98,100,100,3.6,overcast clouds
181,Juneau,US,58.3019,-134.4197,35.6,95,90,5.01,light rain and snow
182,Khatanga,RU,71.9667,102.5,1.74,92,100,11.32,overcast clouds
183,Riyadh,SA,24.6877,46.7219,69.94,28,51,7.47,broken clouds
184,Constitucion,CL,-35.3333,-72.4167,67.6,63,5,11.07,clear sky
185,Clyde River,CA,70.4692,-68.5914,7.03,78,100,8.05,light snow
186,Port Blair,IN,11.6667,92.75,80.29,73,60,14.5,broken clouds
187,Nabire,ID,-3.3667,135.4833,78.3,84,100,3.53,moderate rain
188,Castro,BR,-24.7911,-50.0119,71.92,48,45,6.02,scattered clouds
189,Pochutla,MX,15.7432,-96.4661,86.83,45,64,4.0,broken clouds
190,Moranbah,AU,-22.0016,148.0466,76.01,71,76,5.35,broken clouds
191,Upernavik,GL,72.7868,-56.1549,4.35,90,28,7.18,scattered clouds
192,Bengkulu,ID,-3.8004,102.2655,76.77,89,37,4.0,scattered clouds
193,Mbekenyera,TZ,-10.0,38.9833,77.81,70,13,7.47,few clouds
194,Pritzwalk,DE,53.1494,12.1741,34.72,92,100,12.37,overcast clouds
195,Cidreira,BR,-30.1811,-50.2056,72.09,58,30,11.92,scattered clouds
196,Tiarei,PF,-17.5333,-149.3333,77.02,76,93,15.99,overcast clouds
197,Victor Harbor,AU,-35.5667,138.6167,57.99,61,89,4.0,overcast clouds
198,Tomatlan,MX,19.9333,-105.25,81.05,32,38,2.64,scattered clouds
199,Sarangani,PH,5.4033,125.4636,83.07,72,99,3.24,overcast clouds
200,Stupava,SK,48.2747,17.0317,39.06,83,20,13.8,few clouds
201,Cayenne,GF,4.9333,-52.3333,78.84,89,75,1.99,broken clouds
202,Camacha,PT,33.0833,-16.3333,65.53,63,40,17.27,scattered clouds
203,Takoradi,GH,4.8845,-1.7554,83.77,68,4,10.0,clear sky
204,San Luis,AR,-33.295,-66.3356,70.48,60,91,4.41,overcast clouds
