City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
79,Kalugumalai,IN,79.54,broken clouds,9.15,77.7167,Transmission
82,Moron,AR,80.92,broken clouds,-34.6534,-58.6198,Hotel Morón
83,Hobyo,SO,79.09,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
84,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
85,Botucatu,BR,72.25,broken clouds,-22.8858,-48.445,Primar Plaza Hotel
87,Bubaque,GW,82.2,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
90,Busselton,AU,73.98,clear sky,-33.65,115.3333,Observatory Guest House
92,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
95,Carnarvon,AU,71.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
97,Buraydah,SA,73.85,overcast clouds,26.326,43.975,فندق راحة السلام
99,Atar,MR,83.71,overcast clouds,20.5169,-13.0499,Oumou Elghoura
100,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
105,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
110,Varzea Da Palma,BR,86.83,scattered clouds,-17.5981,-44.7308,Casa Fernandes
112,Vanimo,PG,78.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
115,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
116,Kilindoni,TZ,80.82,light rain,-7.9139,39.6668,Bustani B&B
119,Mwene-Ditu,CD,70.92,light rain,-7.0,23.45,Hôtel Kamas
122,Vao,NC,77.56,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
123,Palauig,PH,75.7,overcast clouds,15.435,119.9045,Alperi Botique Resort
125,Teknaf,BD,75.88,clear sky,20.8624,92.3058,Forestry Guesthouse
126,Guanica,PR,87.13,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
128,Kavieng,PG,81.48,light rain,-2.5744,150.7967,Nusa Island Retreat
129,Coxim,BR,87.26,broken clouds,-18.5067,-54.76,Hotel Avenida
132,Cassilandia,BR,81.34,clear sky,-19.1133,-51.7342,Delirius Motel
138,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
143,Asosa,ET,71.13,few clouds,10.0667,34.5333,Blendana Hotel Assosa
145,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
150,Bowen,AU,75.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
154,Chuy,UY,75.45,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
